age,income,loan_amount,credit_history_years,existing_loans,employment_years,debt_to_income,default
37,57851.95,1931.19,15,4,28,0.033,0
28,81810.07,17020.54,13,0,24,0.208,0
55,40806.46,12471.32,6,4,22,0.306,0
55,19485.28,20924.32,7,1,23,1.074,1
53,36042.52,14695.2,6,3,18,0.408,1
25,65145.34,13077.53,17,0,14,0.201,0
62,50466.59,31025.66,23,3,18,0.615,1
59,40648.01,16782.58,5,0,15,0.413,0
61,28470.05,14355.91,18,0,29,0.504,0
48,54425.72,8172.47,3,0,22,0.15,0
27,62890.13,5592.69,22,1,7,0.089,0
29,56117.44,21164.01,2,3,13,0.377,1
28,44933.39,20685.57,16,2,4,0.46,1
32,52932.83,27572.63,21,2,0,0.521,1
54,52816.86,18831.29,18,2,18,0.357,0
53,53793.94,11855.18,14,3,4,0.22,0
43,26313.9,19088.08,5,4,2,0.725,1
44,53946.53,14357.6,11,3,29,0.266,0
57,41188.07,21923.08,18,0,16,0.532,0
55,70812.37,25674.65,5,4,6,0.363,1
64,52658.37,13651.55,10,0,16,0.259,0
60,66709.58,29058.48,19,0,25,0.436,0
42,43964.37,24506.78,19,3,12,0.557,1
47,44685.72,15141.47,9,2,21,0.339,0
55,79885.02,20365.95,15,4,21,0.255,0
21,58726.7,17443.98,17,1,13,0.297,0
55,35709.71,15175.95,13,2,22,0.425,0
57,67939.49,30305.16,3,1,11,0.446,0
34,39333.91,19140.84,11,3,10,0.487,1
23,54513.96,8272.25,19,4,0,0.152,1
21,86733.49,6776.24,22,3,26,0.078,0
25,21374.35,7103.22,20,1,2,0.332,0
46,46484.36,18916.04,7,0,11,0.407,0
34,58165.43,12267.89,6,3,8,0.211,0
59,65293.97,17666.35,8,4,1,0.271,1
47,25175.32,22491.17,23,3,13,0.893,1
29,19284.19,31229.71,24,2,4,1.619,1
35,71814.99,12452.21,16,3,2,0.173,0
35,35591.7,3731.6,9,1,11,0.105,0
46,34754.35,29339.22,2,3,11,0.844,1
62,81004.99,3343.19,20,4,28,0.041,0
33,51394.05,3028.57,24,3,20,0.059,0
52,51524.76,29131.6,7,3,6,0.565,1
59,46404.01,23529.85,13,4,0,0.507,1
52,25520.36,18878.72,6,3,2,0.74,1
24,63513.94,14600.63,15,4,10,0.23,0
50,58189.01,13086.37,17,1,12,0.225,0
57,53373.83,9793.39,10,4,21,0.183,0
43,47673.54,12735.65,5,1,22,0.267,0
59,44153.61,14620.68,19,1,9,0.331,0
35,68249.67,4004.4,20,4,18,0.059,0
63,47174.14,8438.17,13,3,3,0.179,0
49,48718.78,1000.0,20,2,21,0.021,0
56,60597.86,15623.42,12,4,4,0.258,1
33,54159.22,15624.81,3,3,10,0.288,1
52,82845.52,29228.12,19,1,8,0.353,0
27,14772.66,18004.44,19,0,12,1.219,1
42,55998.15,10551.66,10,2,27,0.188,0
48,35887.88,13397.16,17,3,16,0.373,0
22,31158.27,18894.58,0,2,14,0.606,1
62,40858.72,16820.9,11,0,12,0.412,0
26,51093.59,19626.29,17,0,20,0.384,0
48,51981.38,18016.36,6,0,10,0.347,0
48,19653.88,12978.85,11,4,0,0.66,1
64,39178.32,10713.65,0,2,7,0.273,1
64,55624.43,10283.5,21,4,22,0.185,0
40,32461.39,7597.83,3,0,4,0.234,0
50,27704.32,6343.05,17,3,21,0.229,0
31,10000.0,29707.71,14,0,15,2.971,1
48,36736.13,15997.68,2,4,3,0.435,1
45,27007.42,13757.59,6,0,24,0.509,0
59,30321.34,11032.93,5,0,29,0.364,0
53,44563.59,18431.03,14,4,18,0.414,1
21,38003.42,24629.31,14,4,17,0.648,1
47,26675.24,20786.12,5,3,22,0.779,1
33,10000.0,22372.71,7,4,28,2.237,1
61,56046.23,10307.77,7,3,1,0.184,0
23,65056.54,14966.97,21,1,12,0.23,0
59,42065.1,10412.98,0,1,15,0.248,0
26,44684.49,15856.25,12,4,21,0.355,0
28,50056.21,25180.73,22,0,26,0.503,0
47,81575.67,18515.23,23,2,7,0.227,0
29,18645.84,28013.71,20,0,18,1.502,1
57,41710.21,12691.81,12,4,2,0.304,0
53,15560.54,8544.31,10,3,18,0.549,0
62,57246.37,19097.03,3,0,16,0.334,0
64,47120.83,15950.87,6,1,8,0.339,0
44,54059.84,17581.62,11,4,20,0.325,1
35,53062.45,16385.76,12,0,24,0.309,0
52,69814.17,11124.53,21,0,20,0.159,0
52,60762.66,16565.89,11,3,22,0.273,0
44,66610.16,22786.96,15,3,16,0.342,0
61,28689.31,23608.86,5,3,24,0.823,1
32,73863.42,11083.87,13,2,0,0.15,0
59,35552.75,16848.05,18,4,3,0.474,1
22,36702.61,26816.89,15,4,22,0.731,1
23,55416.85,11256.87,3,1,26,0.203,0
57,56038.37,9804.43,4,1,14,0.175,0
37,28562.86,21355.22,8,4,11,0.748,1
22,46534.41,19951.67,23,0,24,0.429,0
22,79764.71,8304.19,2,4,16,0.104,0
48,20633.27,3804.32,21,2,11,0.184,0
43,79704.38,16692.45,9,1,15,0.209,0
57,45166.03,11651.22,16,1,29,0.258,0
52,10000.0,1527.39,18,1,12,0.153,0
53,22665.37,9502.38,9,4,10,0.419,1
21,30730.45,19820.88,11,1,14,0.645,1
39,37521.41,13788.71,22,1,28,0.367,0
22,47905.73,27528.83,6,4,15,0.575,1
64,10000.0,1000.0,17,0,5,0.1,0
46,53736.09,25703.94,18,1,26,0.478,0
52,28898.19,12248.77,14,1,25,0.424,0
26,77810.45,11092.63,6,1,10,0.143,0
52,44596.47,2590.45,11,2,14,0.058,0
24,68856.92,18720.65,21,4,4,0.272,0
31,72206.98,1000.0,6,1,2,0.014,0
37,71665.46,21543.23,9,2,25,0.301,0
58,38671.87,2893.09,24,0,1,0.075,0
44,38416.0,4154.35,23,0,0,0.108,0
25,45500.53,5470.28,21,2,14,0.12,0
54,62724.75,9272.4,19,0,1,0.148,0
26,39786.09,22536.61,9,3,27,0.566,1
42,47614.75,27031.65,24,0,28,0.568,0
31,55471.88,10099.25,22,3,19,0.182,0
36,31902.16,14627.5,4,2,5,0.459,1
53,30637.83,18919.34,17,3,11,0.618,1
29,46834.72,12365.5,8,0,20,0.264,0
26,49483.58,18606.06,15,1,15,0.376,0
36,58677.71,14967.36,6,3,13,0.255,0
49,63437.73,12972.32,24,0,3,0.204,0
23,28018.74,3641.47,24,1,7,0.13,0
40,33758.3,16192.35,9,2,11,0.48,1
56,30584.95,22667.01,4,2,22,0.741,1
39,78248.95,8773.78,6,4,13,0.112,0
46,47594.59,1000.0,4,2,19,0.021,0
23,50322.59,12443.59,14,4,25,0.247,0
39,51155.49,27078.17,18,2,12,0.529,1
40,35686.6,24695.6,9,2,28,0.692,1
52,81285.39,10356.3,7,2,4,0.127,0
27,58220.53,18644.12,23,4,11,0.32,0
61,50791.81,19908.37,8,4,9,0.392,1
53,27894.87,26922.7,10,3,20,0.965,1
60,26761.35,2595.34,21,0,18,0.097,0
59,43821.85,6449.37,1,0,12,0.147,0
38,36000.16,1000.0,2,0,8,0.028,0
60,28651.11,9572.73,12,2,10,0.334,0
21,42580.84,23530.44,10,0,4,0.553,1
31,45671.44,10522.25,9,4,27,0.23,0
48,52835.71,4534.49,14,3,12,0.086,0
45,39921.61,16813.09,5,1,9,0.421,1
43,29847.99,17018.95,0,3,17,0.57,1
51,30541.58,6863.6,13,0,28,0.225,0
50,74259.45,10951.63,17,0,14,0.147,0
62,24964.85,16204.61,23,4,19,0.649,1
55,57263.65,20967.89,10,3,11,0.366,0
27,60390.93,9809.02,7,4,3,0.162,0
36,47574.49,8656.19,21,4,4,0.182,0
46,85356.58,30300.44,2,1,7,0.355,1
22,60034.38,12807.79,13,4,4,0.213,0
21,86858.06,16995.47,1,4,0,0.196,1
32,36978.72,20186.92,15,1,17,0.546,1
25,37321.09,1000.0,5,2,18,0.027,0
57,60550.74,14851.78,0,2,18,0.245,0
52,44770.69,1834.27,13,1,9,0.041,0
29,83713.31,13953.78,9,4,21,0.167,0
61,56834.01,25984.99,5,0,8,0.457,1
55,29108.52,7012.25,8,3,25,0.241,0
39,15263.67,1668.65,6,0,0,0.109,0
36,48435.23,30101.49,24,0,21,0.621,0
23,48217.54,5823.54,1,4,24,0.121,0
40,56275.32,3011.37,10,3,19,0.054,0
44,74213.81,27952.25,13,3,25,0.377,0
53,71582.27,5508.24,4,2,2,0.077,0
44,38421.98,28159.31,8,1,12,0.733,1
31,24123.61,17192.73,6,4,5,0.713,1
28,25317.58,25271.66,24,3,5,0.998,1
56,35263.97,16488.53,13,4,28,0.468,0
58,42665.37,23637.62,15,2,17,0.554,1
60,56101.24,7652.41,21,0,4,0.136,0
40,33980.65,10091.18,15,3,16,0.297,0
55,55607.84,1000.0,6,2,28,0.018,0
45,57240.8,22774.25,9,4,24,0.398,1
55,52866.88,18356.55,20,2,24,0.347,0
45,27427.54,6941.4,5,2,2,0.253,1
49,59356.53,1008.78,16,2,4,0.017,0
38,91625.39,17254.51,0,2,2,0.188,0
38,54917.94,28407.64,1,2,22,0.517,1
22,10000.0,13896.31,13,2,12,1.39,1
55,74817.59,9732.43,3,1,14,0.13,0
36,35945.04,7503.41,8,4,16,0.209,0
61,95314.25,24994.79,22,0,14,0.262,0
56,52327.27,8766.02,5,4,4,0.168,0
53,16305.99,12030.57,16,3,21,0.738,1
24,10000.0,23333.88,20,3,13,2.333,1
53,80794.82,20099.85,10,4,10,0.249,0
34,72118.1,12336.73,3,2,27,0.171,0
41,94520.38,9408.18,20,1,13,0.1,0
40,50218.49,26724.63,8,0,6,0.532,1
28,48869.4,6069.04,15,2,2,0.124,0
27,42345.62,13317.72,2,4,22,0.315,0
23,36834.2,2952.99,3,4,19,0.08,1
37,42151.41,24510.94,23,1,9,0.581,1
53,54349.27,11200.91,2,1,10,0.206,0
32,33121.98,9402.99,12,4,29,0.284,0
42,16614.21,20293.3,18,2,5,1.221,1
42,53197.53,3595.88,24,2,4,0.068,0
50,32676.09,20083.05,20,2,19,0.615,1
58,10000.0,12115.66,0,0,21,1.212,1
58,61051.35,5357.61,22,0,12,0.088,0
28,27838.82,7077.9,22,2,11,0.254,0
47,63235.79,9526.4,5,4,18,0.151,0
47,62756.96,11447.65,21,1,18,0.182,0
54,55671.8,5411.79,2,3,20,0.097,0
41,99936.36,17356.13,2,1,26,0.174,0
50,47238.96,5202.22,15,1,4,0.11,0
53,44287.21,1000.0,9,3,24,0.023,0
48,63673.45,30356.96,24,2,19,0.477,1
53,48891.05,16583.42,16,1,20,0.339,0
25,73209.87,31075.93,6,3,27,0.424,1
39,24623.88,6650.73,12,4,8,0.27,0
24,24956.51,18838.36,10,4,3,0.755,1
55,65316.19,22156.87,9,4,28,0.339,0
37,26703.78,13485.23,6,2,14,0.505,1
64,62181.97,3444.4,23,1,2,0.055,0
48,57400.06,12884.15,5,1,22,0.224,0
50,36110.23,20011.18,23,0,6,0.554,0
49,57343.4,19705.76,0,4,23,0.344,1
26,25308.15,14986.97,16,2,19,0.592,0
55,30002.0,22178.3,24,3,19,0.739,1
61,45256.25,21800.69,11,2,13,0.482,1
57,51578.56,10810.66,3,1,13,0.21,0
44,43927.23,2836.64,2,4,8,0.065,0
49,58662.32,16523.47,5,0,25,0.282,0
51,57769.33,9026.9,15,2,22,0.156,0
55,80587.34,16149.99,12,0,2,0.2,0
53,48094.29,25764.24,8,1,28,0.536,1
41,73891.27,18499.94,10,3,8,0.25,0
52,68414.51,25370.05,19,2,28,0.371,0
43,95879.55,6908.16,24,1,20,0.072,0
53,47454.84,23699.65,20,4,3,0.499,1
23,41592.83,28412.78,12,2,16,0.683,1
38,75153.88,15514.58,22,0,24,0.206,0
45,57708.65,33576.43,18,2,5,0.582,1
62,75633.18,8140.55,2,1,15,0.108,0
51,64335.98,9889.33,11,1,26,0.154,0
23,10000.0,20199.48,18,0,17,2.02,1
60,57526.44,15435.72,7,1,12,0.268,0
44,56224.32,9056.74,13,2,6,0.161,0
52,52662.14,19952.83,21,0,2,0.379,0
42,47355.14,17844.33,8,1,5,0.377,1
43,18157.13,10309.79,24,1,23,0.568,0
22,67483.54,16512.41,23,2,2,0.245,0
47,57475.37,21072.2,16,1,28,0.367,0
62,72039.13,10132.33,5,2,27,0.141,0
22,19224.89,19135.97,3,4,11,0.995,1
46,60142.69,8063.65,3,2,4,0.134,0
37,45306.81,9609.4,18,3,29,0.212,0
60,52875.76,23892.7,11,1,21,0.452,0
53,45536.81,19909.97,24,4,16,0.437,0
29,60872.16,1000.0,1,0,9,0.016,0
63,46742.54,12006.2,16,3,6,0.257,0
59,28961.7,18917.57,14,0,3,0.653,1
49,51728.51,16110.92,9,3,9,0.311,0
62,45716.51,19945.63,2,4,26,0.436,1
46,48332.13,15927.85,19,4,6,0.33,0
55,10000.0,13939.22,3,4,22,1.394,1
45,63652.72,13694.7,21,3,10,0.215,0
44,43706.73,23729.43,0,2,20,0.543,1
33,23036.93,20559.52,0,0,7,0.892,1
27,68451.27,18237.95,17,2,7,0.266,0
56,62727.31,15710.66,3,2,4,0.25,1
40,43453.6,10609.45,22,1,4,0.244,0
21,26956.61,12545.97,21,0,6,0.465,0
28,53560.61,23517.37,14,3,21,0.439,1
36,52462.12,22764.02,24,1,3,0.434,0
34,68486.69,9811.42,22,1,1,0.143,0
32,41125.29,15799.36,20,4,23,0.384,0
43,73898.44,18987.74,21,3,18,0.257,0
35,39194.94,18465.48,9,2,1,0.471,1
48,23083.36,18403.86,24,2,15,0.797,0
54,27354.34,6103.4,16,2,11,0.223,0
22,48751.77,5628.13,24,4,14,0.115,0
52,48689.71,24361.56,21,2,9,0.5,0
43,56557.22,27072.2,11,0,22,0.479,0
42,48192.52,3147.83,19,2,25,0.065,0
45,69546.37,14777.92,11,2,5,0.212,0
42,44778.12,21512.41,15,0,23,0.48,1
42,10074.47,1000.0,4,4,12,0.099,0
62,47578.07,6413.3,15,1,29,0.135,0
26,10000.0,14262.42,16,3,5,1.426,1
35,55427.82,10222.09,22,4,22,0.184,0
63,71143.86,16673.15,14,2,1,0.234,1
57,30275.51,26763.86,12,1,25,0.884,1
53,78371.13,8177.62,7,3,13,0.104,0
28,66856.62,15402.18,20,3,17,0.23,0
64,74129.6,12241.63,1,3,5,0.165,0
64,53791.28,16090.92,7,0,24,0.299,0
25,30144.7,15046.4,9,0,29,0.499,0
59,65616.31,36097.59,6,1,18,0.55,1
24,37507.98,26916.62,9,2,26,0.718,1
26,52357.69,2352.52,24,1,25,0.045,0
52,46572.98,7798.92,3,2,13,0.167,0
50,72493.92,8777.14,10,4,29,0.121,0
55,64606.54,5125.8,8,3,12,0.079,0
60,48388.68,4053.1,3,3,7,0.084,0
36,10967.86,13573.07,2,0,4,1.238,1
33,37295.45,9082.5,10,4,12,0.244,0
62,64084.45,7873.65,2,4,5,0.123,0
50,55602.21,31163.79,17,2,21,0.56,1
39,19935.56,9632.98,18,4,26,0.483,0
37,13868.24,11454.66,13,0,27,0.826,0
39,53910.18,20931.65,23,2,25,0.388,0
48,28858.86,11427.77,10,1,26,0.396,0
46,30784.07,5674.61,23,2,28,0.184,0
57,63452.15,12936.48,1,1,18,0.204,0
46,74044.78,31069.87,1,2,10,0.42,1
43,34985.96,11148.46,1,3,26,0.319,0
29,49104.79,7705.87,9,1,15,0.157,0
32,48515.07,18361.84,22,0,4,0.378,0
21,46715.92,12552.68,14,1,11,0.269,0
21,50811.97,36911.95,21,1,16,0.726,1
54,65129.98,8704.82,11,2,1,0.134,0
52,36521.51,28869.85,10,3,9,0.79,1
45,19494.45,24307.12,16,2,14,1.247,1
60,83800.2,11949.24,17,2,18,0.143,0
21,71788.44,14971.88,13,3,19,0.209,0
36,27927.24,6760.96,16,2,28,0.242,0
59,52712.64,10692.47,14,3,24,0.203,0
25,70214.04,11892.43,11,0,16,0.169,0
42,64980.88,16262.83,15,3,18,0.25,0
49,59240.27,3698.56,22,4,18,0.062,0
23,46595.46,17491.88,5,3,12,0.375,0
32,84546.08,13833.05,1,3,12,0.164,0
46,54417.18,18184.86,1,4,15,0.334,1
36,39700.81,19378.45,15,3,21,0.488,0
57,67421.51,13192.52,1,1,20,0.196,0
42,51921.17,18905.58,7,2,2,0.364,1
49,56995.95,14302.59,6,2,3,0.251,1
34,54062.98,20947.78,0,0,26,0.387,0
48,59935.51,17529.01,3,0,6,0.292,0
25,30430.87,16448.33,10,4,2,0.541,1
50,20977.87,14180.43,19,1,8,0.676,0
25,78682.65,25366.53,6,0,7,0.322,0
32,54991.69,18241.48,17,2,28,0.332,0
36,65416.95,4428.3,3,0,17,0.068,0
46,14804.82,11224.39,16,0,20,0.758,1
46,71333.66,13171.32,10,3,13,0.185,0
41,39570.29,14991.01,10,0,19,0.379,0
59,33875.64,16413.66,19,4,27,0.485,0
56,48732.54,7446.27,10,2,28,0.153,0
53,30440.4,14456.02,14,4,4,0.475,1
50,49965.37,12487.03,13,4,2,0.25,0
57,47273.23,23677.95,16,1,9,0.501,1
43,71207.92,7039.37,1,3,10,0.099,0
30,80266.89,14860.97,17,4,16,0.185,0
25,79630.32,9516.92,15,1,7,0.12,0
56,10000.0,29903.97,11,2,8,2.99,1
54,31296.66,25052.91,9,2,7,0.8,1
51,10000.0,1861.14,15,1,19,0.186,0
30,26129.15,8630.29,2,4,27,0.33,0
39,37009.64,21967.39,7,4,1,0.594,1
52,58211.23,18658.26,21,3,3,0.321,0
21,39601.34,18407.45,21,3,29,0.465,0
25,40158.6,16526.82,24,2,15,0.412,0
24,53635.29,22609.6,23,3,8,0.422,1
36,15813.81,21247.81,1,1,25,1.344,1
44,33228.14,12675.55,21,2,8,0.381,0
36,39928.87,5405.93,0,4,20,0.135,0
22,45951.96,1479.48,13,2,4,0.032,0
48,51539.08,14170.89,24,0,25,0.275,0
52,80013.0,1000.0,3,2,2,0.012,0
47,68166.72,17007.97,3,3,13,0.25,1
40,34613.8,12535.75,8,1,14,0.362,0
44,44773.42,30551.29,2,4,5,0.682,1
32,43411.22,17745.03,4,4,15,0.409,1
55,39716.95,14766.2,0,3,22,0.372,1
53,55450.32,2070.64,21,3,27,0.037,0
53,12804.41,4901.43,18,3,9,0.383,0
63,67614.29,20450.83,0,0,13,0.302,0
57,83871.02,12495.23,9,1,11,0.149,0
32,44603.19,35283.01,21,0,8,0.791,1
23,44212.71,14335.59,11,3,22,0.324,0
21,53140.88,16351.38,9,1,18,0.308,1
53,70387.72,4464.82,1,3,11,0.063,0
60,43514.13,22579.45,15,1,12,0.519,0
30,68678.9,7594.23,7,4,22,0.111,0
63,59769.89,19195.3,13,0,12,0.321,0
64,97232.23,21494.35,14,3,16,0.221,0
49,43426.76,15761.55,15,3,1,0.363,1
33,10479.99,29055.77,10,2,19,2.772,1
32,21341.22,10114.38,11,4,22,0.474,1
51,50238.56,28404.32,1,3,8,0.565,1
22,70557.64,4832.43,3,0,20,0.068,0
55,36949.82,21392.23,2,4,7,0.579,1
43,45381.35,13860.69,8,3,6,0.305,0
37,63696.85,9334.94,17,0,4,0.147,0
46,30695.35,1709.77,18,2,28,0.056,0
28,37774.61,12914.65,6,2,18,0.342,0
49,26645.47,12409.48,3,0,2,0.466,0
46,73564.56,16383.25,5,4,12,0.223,0
30,80833.46,20798.52,18,0,5,0.257,0
46,18411.7,8532.27,0,0,25,0.463,0
54,47156.29,29066.14,15,2,10,0.616,1
61,78145.18,10691.72,10,2,3,0.137,0
27,57973.9,19817.55,21,2,2,0.342,1
24,40215.22,15721.34,3,3,3,0.391,1
31,19076.76,13410.32,17,3,2,0.703,1
49,73058.89,15320.46,22,1,12,0.21,0
56,57210.3,7477.7,4,3,14,0.131,0
45,20540.27,11899.47,21,4,11,0.579,1
41,73797.82,4281.96,5,4,14,0.058,0
56,17991.93,10605.84,24,2,25,0.589,0
30,45590.28,11266.66,1,0,10,0.247,0
57,44707.71,21761.77,11,2,10,0.487,1
29,82367.63,12344.6,21,0,12,0.15,0
44,44779.08,11415.35,8,2,11,0.255,0
55,44707.15,16760.32,19,2,5,0.375,0
55,22738.43,16446.82,11,4,28,0.723,1
56,37192.05,10271.67,12,0,22,0.276,0
38,33654.09,18153.83,21,1,19,0.539,0
59,34695.55,13570.82,22,1,18,0.391,0
52,50125.69,10258.69,16,2,18,0.205,0
44,10000.0,11036.17,4,2,26,1.104,1
43,19795.4,22594.81,19,4,2,1.141,1
52,47779.62,11276.58,12,0,15,0.236,0
57,52425.09,17089.0,12,2,8,0.326,0
32,45331.34,4740.8,9,1,26,0.105,0
33,49184.11,23922.44,14,0,26,0.486,0
43,41817.67,10336.05,14,2,13,0.247,0
45,49629.91,18202.32,17,0,29,0.367,0
55,58682.84,12987.45,17,4,27,0.221,0
61,58542.67,18110.67,1,1,2,0.309,0
50,36220.83,18547.52,22,0,2,0.512,0
37,68301.89,13842.69,10,1,23,0.203,0
40,53142.17,1000.0,12,2,19,0.019,0
45,74644.28,23728.12,10,3,6,0.318,1
42,78657.45,13880.78,3,0,18,0.176,0
33,21145.47,17944.05,14,1,23,0.849,1
39,32819.45,20533.75,21,0,2,0.626,0
56,66270.96,11342.61,22,2,20,0.171,0
32,16702.15,19137.08,24,2,0,1.146,1
61,78403.54,9019.18,10,1,11,0.115,0
39,43122.36,18100.34,17,4,20,0.42,0
32,61500.66,15157.62,15,0,5,0.246,0
29,47672.19,11620.04,9,0,6,0.244,0
27,22152.21,15375.94,11,2,1,0.694,1
48,71110.89,6558.45,12,0,17,0.092,0
34,105014.46,17472.32,8,1,29,0.166,0
51,39699.83,18302.58,20,3,24,0.461,0
39,43552.83,17765.12,12,2,14,0.408,0
36,10000.0,27017.37,5,3,14,2.702,1
25,77030.06,14240.21,5,0,9,0.185,0
55,68235.31,14791.02,10,4,16,0.217,0
32,15332.32,5637.84,18,1,17,0.368,0
45,10000.0,27579.76,10,0,17,2.758,1
41,11015.37,3014.85,9,1,28,0.274,0
56,62903.38,16828.51,22,0,14,0.268,0
43,64899.83,10081.75,14,0,25,0.155,0
36,31533.32,15498.53,12,0,22,0.491,0
59,59985.2,4535.53,22,2,5,0.076,0
62,53177.54,22133.31,7,3,8,0.416,1
59,42654.61,7358.56,4,4,10,0.173,0
34,69403.94,24330.02,1,3,14,0.351,1
51,25901.29,7579.12,15,3,22,0.293,0
25,72950.78,22801.7,12,1,2,0.313,0
55,35429.57,8352.28,18,2,18,0.236,0
43,85630.73,10083.12,8,2,0,0.118,0
49,29893.88,14985.23,14,0,23,0.501,0
63,42968.56,8216.59,5,3,16,0.191,0
31,51171.74,7980.99,7,4,10,0.156,0
38,51046.37,8309.27,23,1,29,0.163,0
32,59816.57,17550.84,13,2,17,0.293,0
29,24286.35,14996.4,4,0,10,0.617,1
30,49253.75,15421.05,16,4,27,0.313,0
64,52762.63,12402.94,21,3,6,0.235,0
37,39445.24,19389.6,6,4,0,0.492,1
58,58081.17,23400.46,8,2,11,0.403,1
27,23072.6,19604.94,15,1,3,0.85,1
33,43470.92,13328.23,17,3,24,0.307,0
60,34936.32,5233.72,12,1,7,0.15,0
62,43531.38,1000.0,17,4,14,0.023,0
29,78940.71,14481.08,9,4,10,0.183,0
47,79329.11,1000.0,0,0,29,0.013,0
22,75408.33,13405.56,20,3,28,0.178,0
